Likes,Name,,Meaning
185,Akas,•,High Like Sky; All Pervading; As Great as Sky
125,Akif,•,Focused; Attached; Intent
279,Akil,•,Sweet Smell; Fire; The Wanderer; Intelligent; Thoughtful; One who Uses Reason; Place Name; Pain or Lipless
69,Akra,•,Banner; Wall; Fence
127,Aksa,•,Soul
314,Aksh,•,Chariot of Thousand Horses
69,Akta,•,Anointed
57,Aktu,•,Ray; Light
341,Akul,•,Lord Shiva
63,Alaa,•,Nobility; Excellence
143,Alak,•,World; Beautiful Tresses; Enjoyable Person
99,Alam,•,The Whole World; World
75,Alan,•,God of Shine; Handsome; Cheerful; Rock; Comely; Peace; Little Rock; Noble; Rock or Noble
78,Alap,•,Development of the Tune Before the Song is Sung
75,Alay,•,Gift
54,Alec,•,Abbreviation of Alexander; Helper and Defender of Mankind; Defending Men
52,Alek,•,Form of Alexander; Helper and Defender of Mankind; Man's Defender
94,Alex,•,Form of Alexander; Helper and Defender of Mankind
49,Alia,•,Forehead
84,Alif,•,The First Character in Hijaiyah
44,Alih,•,Idol; God; Brave
74,Alim,•,Learned; Scholarly; Omniscient; Wise Man
104,Alin,•,Fair; Handsome; Both a Diminutive of Albert; Noble; Rock; Comely; To Soothe; Bearer of the Light; Scorpion; The Zodiac Sign Scorpio
77,Allu,•,Stylish Star
348,Alok,•,A Man with Lovely Hair; Cry of Victory; Lord Subramanya; Brightness; Light
110,Alop,•,That which does Not Disappear
47,Alya,•,Apt
84,Amad,•,Serious; Much Praised; One of Many Names of the Prophet Muhammad; Without Intoxication; Grave
245,Amal,•,Expectation; Bird; Hard Work; Bright; Clean; Pure; Unblemished; Hope; Aspiration
58,Amam,•,Safety; Protection
530,Aman,•,Wonder; Peace; Hero; Safety; Protection; Honest; Faithful; Trustworthy; Security; The One who is Peaceful
333,Amar,•,Forever; Long Life; Luck; Everlasting; The Immortal One
40,Amas,•,Fine; Soft; Raw; Not Hard
67,Amav,•,Ocean; One Connected to Body of Water
272,Amay,•,Lord Ganesha
76,Ambi,•,Goddess Parvathi
48,Ambu,•,Water; Beautiful
86,Amer,•,Rich; One who Builds; Great Tree
96,Amey,•,Eagle
53,Amfy,•,Always Ready
89,Amid,•,Support; Leader; Chief; A Great Man; Amin
121,Amil,•,Invaluable
139,Amin,•,Divine Grace; Trustworthy; Honest; Amin; Another Name for Prophet Muhammad; Faithful; Custodian
162,Amir,•,Rich; Leader; From Kikuyu; Wealthy; Ruler; King; Emir; Treetop; Sheaf; Prince Ruler; Mighty; Strong; Prosperous; Proclaimed; Commander
43,Amis,•,Honest
482,Amit,•,Boundless; Without Limit; Nobody can Distroy; Unstoppable; Upright; Friendly; Faithful; A Great Deal with World
67,Amiy,•,Nectar
46,Amma,•,Mother; God-like
56,Ammu,•,Mother
106,Amod,•,Pleasure
201,Amol,•,Priceless; Valuable
53,Amos,•,A Burden
67,Amuk,•,Some; One or Another
135,Amul,•,Priceless
59,Amum,•,Very Beautiful
131,Anad,•,God
100,Anag,•,Very Handsom
145,Anam,•,Blessing
124,Anas,•,A Group of People; Affection; Love; Friendliness; Pleasant Companionship
319,Anav,•,Starting
376,Anay,•,Radha's Husband
121,Anbu,•,Love; Kindness
84,Andi,•,Man; Warrior
44,Ando,•,A Small Diamond
127,Anek,•,Many
59,Anel,•,Love
43,Anga,•,A Limb; Body Part; Organ
51,Anhu,•,Imperishable; Invincible
264,Anik,•,Soldier
262,Anil,•,Puriest; Wind; God of Wind
109,Aniq,•,Elegant; Blessed; Moon
36,Anir,•,Lovely
144,Anis,•,Close Friend; Friendly; Amiable; Companion; Lover
175,Anit,•,Joyful Unending
85,Aniv,•,Sweet
43,Anji,•,Lord Hanuman
98,Anna,•,Name of a King; Food; Grain; Earth and Water; God is Gracious; God has Shown Favour; Angel; Elder Brother
66,Annu,•,A Prefix; Atom
72,Anoj,•,Younger Brother
54,Anpu,•,Lake; Love; Royal Child
45,Ansa,•,Portion
525,Ansh,•,Portion; A Little Part of Things; Honesty
141,Ansu,•,Ray of Light
56,Anti,•,Opposite
263,Anuj,•,Younger Brother
64,Anul,•,Wind
322,Anup,•,Unique; Talent; Glory; Extreme Large; Without Comparison; Hard Working; Honest; Love Person; Anytime Happy
147,Anvi,•,One of Devi's Names
85,Apan,•,Sun; Glorious; Brilliant
84,Apar,•,Infinite; Great; Best
46,Apod,•,Highlight
87,Appy,•,Enjoyable Person
59,Apta,•,Reliable
63,Apti,•,Highly Beautiful
101,Aram,•,Highness; Exalted
194,Aran,•,Righteous
1247,Arav,•,Peaceful; Beautiful
165,Arca,•,Sun; Moon
107,Aref,•,Knowing; Knowledgeable; Wise; Intelligent; Sage; Scholar
323,Arha,•,Lord Shiva
74,Aric,•,Ruler of All; Sacred Ruler; Ruler; Rule with Mercy; Noble Leader; Ever Ruler
90,Arif,•,Knowing; Knowledgeable; One who Knows; Wise; Acquainted
158,Arij,•,Pleasant Smell; Misti Gandha (in Bengali)
221,Arin,•,Mountain of Strength; With Spokes; Discuss; Bringer of Light; Peace; Who does Not have Any Enemies
5,Arit,•,One who Leads in the Right Direction
164,Ariv,•,King of Wisdom
80,Arja,•,Divine
84,Arju,•,Peacock; Son of Lord Indra; One of the Pandavas Brother
175,Arka,•,The Sun
35,Arki,•,Radiant; Beaming; Praising
68,Arni,•,Eagle; Eagle Power
94,Aron,•,Lofty or Inspired; A Former Persian Province in Caucasus; Enlightened; Exalted; On High; A Prophet
63,Arsa,•,Sky; Heaven; Celestial
411,Arsh,•,Crown; Dominion; Throne; Gift; Compensation; Sky
70,Arte,•,Noble; Bear Man
177,Arth,•,Meaning; Like an Eagle
128,Aruj,•,Healthy
168,Arul,•,God's Grace; Gods Blessing
354,Arun,•,Mythical Charioteer of the Sun; Dawn; Red Colour; Sun
109,Arup,•,Nirakar
103,Arva,•,Fastest Motion Wind
139,Arwa,•,Female Mountain Goat
554,Arya,•,To Get the Most Important; Powerful; Noble; Great; Truthful; Honoured
110,Asad,•,Virtuous; Pious; Happier; Luckier; Lion; Fortunate; Zodiac Sign of Leo
62,Asan,•,Name of Lord Shiva; Lord Vishnu; Vault
45,Asao,•,Essence
22,Asar,•,Mark; Sign
93,Asav,•,Essence
34,Asha,•,Hope
16,Ashk,•,Tear
53,Asho,•,Head of the Sun
113,Ashu,•,Small; Quick
85,Asif,•,Forgiveness; Pure; Clean; Gather
27,Asik,•,Dagger; Sharp
95,Asim,•,Limitless; Guardian; Defender; Reward
38,Asis,•,Blessing
87,Asit,•,Unlimited; The Planet; Lord Ganesha
43,Asma,•,Sky; He was Ibn Harithah Alaslami
35,Asmi,•,I am
63,Asok,•,Without Sadness
36,Aspi,•,Lord Vishnu
26,Asul,•,Wealthy
0,Asus,•,Blessing
37,Asva,•,Horse; Strong; Swift
26,Ataa,•,Gift; Favour
81,Atal,•,Admiring; Immovable; Attractive
21,Atam,•,Adam; Self; Spiritual
84,Atif,•,Generous; Sympathetic; Compassionate
74,Atin,•,The Great One; Strong; A Common
27,Atit,•,Past
70,Atma,•,Soul
18,Atnu,•,The Sun
25,Atre,•,The Son of Sage Atri to whom Dattatreya was Born
36,Atri,•,Name of Hindu Rishi
154,Atul,•,Lion; Matchless; Incomparable
40,Atvi,•,Energy
66,Avan,•,Water
22,Avas,•,Favour; Protection
79,Avik,•,Living in Water; Strength of a Diamond
31,Avin,•,Affection
49,Avni,•,Name of a King; Earth
97,Avya,•,The First Life Form All Knowledgeable and All Pure
52,Awad,•,Reward; Compensation
38,Awaz,•,Sound
7,Axal,•,Divine of Power
17,Axel,•,Man of Peace
442,Ayan,•,Movement of Sun when the Sun Rising; Something Knows; One who Witnesses; Appear
91,Ayas,•,Gold
118,Ayog,•,Institution
47,Ayub,•,Name of a God; A Biblical Prophet's Name; Companion of Prophet Muhammad
23,Ayuj,•,Without a Companion; Without an Equal
63,Ayus,•,Long Life; Age; Duration of Life; Lineage
29,Azad,•,Free; Independence
37,Azam,•,Offspring; Variant of A'zam; Greatest; Biggest
9,Azel,•,Noble
69,Azim,•,Defender; Big; Great; One of the Ninety-nine Names of God; Grand; Lofty; Determined
45,Aziz,•,Powerful; Friend; Dear One; Precious; To be Cherished; Comrade; Dear
214,Aaban,•,Of an Angel; 8th Persian Month; Angel of Iron
47,Aabir,•,Fragrance
15,Aadab,•,Good Wish
36,Aadhi,•,Beginning
8,Aadij,•,Born of Mind
85,Aadil,•,Justice; Upright; Sincere
70,Aadir,•,Origin; Beginning
215,Aadit,•,Peak
66,Aadiv,•,Delicate
169,Aadya,•,Light; The Earliest; Lord Shiva
121,Aagam,•,Coming; Arrival
13,Aagar,•,Music Interest
14,Aagha,•,Master; Lord; Chief; Brother
183,Aahan,•,Iron; Sword
204,Aahil,•,Prince
57,Aahir,•,Dazzling; Brilliant
41,Aahna,•,Exist
95,Aahva,•,Beloved
79,Aaish,•,God Blessings
77,Aakar,•,Shape
43,Aakav,•,Form; Shape
112,Aakil,•,Intelligent; Smart
71,Aalam,•,The Whole World; World; World Universe
96,Aalap,•,Musical
25,Aalee,•,Sublime; High
31,Aalim,•,Religious Scholar; Man of Learning; Wise
158,Aalok,•,Light
27,Aamil,•,Doer; Work Man; Worker; Effective
28,Aamin,•,Divine Grace; Grace of God; God have it so
53,Aamir,•,Full; Prosperous; Amply Settled; Civilised
94,Aamod,•,Pleasant
58,Aanan,•,Appearance; Face; Countenance
79,Aanav,•,Humane
13,Aandi,•,Lord Murugan
83,Aansh,•,Portion
17,Aapal,•,Regard
28,Aaqib,•,Follower
36,Aaqil,•,Intelligent
39,Aarab,•,Powerful
618,Aarav,•,Peaceful; Good Personality
50,Aarif,•,Acquainted; Knowledgeable; Devotee; Knowing; Aware
119,Aarit,•,One who Seeks the Right Direction
110,Aariv,•,King of Wisdom
133,Aariz,•,Respectable Man; Intelligent; Leader of the Nation
21,Aarna,•,Goddess Laxmi
17,Aaroh,•,Successor
200,Aaron,•,Exalted One; High Mountain
166,Aarsh,•,Crown
168,Aarth,•,The Meaning
30,Aarul,•,Brilliant
224,Aarya,•,Lines on Any Particular Raaga from Sanskrit
53,Aasha,•,Wish
35,Aashi,•,Smile
18,Aashu,•,Lord Shiva
36,Aasif,•,An Able Minister
53,Aasim,•,Protector; Guardian
13,Aasin,•,Calling Himself
32,Aasit,•,Black Stone
16,Aasra,•,Sahara; Help
15,Aasvi,•,River; Goddess Saraswati
41,Aatif,•,Kind Affectionate
63,Aatma,•,Soul; Light of the Lord
61,Aaush,•,Long Life
18,Aavai,•,Arrive; To Come
20,Aayam,•,Dimensions
364,Aayan,•,Speed; Bright; A Small but the First Part of an Element
35,Aazim,•,Determined
41,Abaan,•,Old Arabic Name
23,Abala,•,Helpless
65,Abbas,•,Description of a Lion; Looking Austere; Lion; Stern; Frowning One; Name of Mohammad's Uncle; A Family Name
8,Abbie,•,My Father is Light; Father of Joy
15,Abbot,•,Father; Priest
17,Abbud,•,Worshipper of Allah; Devoted; Obedient
8,Abdar,•,Glittering with Water; Wealthy
20,Abdul,•,Knowledge; Servant of the Lord
82,Abeer,•,Colour; Fragrance
31,Abhai,•,Without Fear
30,Abhar,•,Shining; More Brilliant; More Magnificent
42,Abhas,•,Feeling
20,Abhat,•,Shining; Visible
87,Abhav,•,Lord Shiva
168,Abhay,•,Brave; Fearless
10,Abhey,•,Fearless
109,Abhik,•,Beloved; Fearless
43,Abhin,•,Different
30,Abhir,•,Mighty One
9,Abhit,•,Fearless
18,Abhoy,•,Fearless
71,Abhra,•,Cloud
36,Abjit,•,Conquering Water
10,Abner,•,Father of Light
8,Abrad,•,Mail; Coldest; Cool
10,Abrak,•,The Blessed One; More or Most Blessed
30,Abrar,•,A Truthful Person; Saint
43,Abrik,•,Precious Like Gold
37,Abyan,•,Very Clean
11,Abyaz,•,White
10,Abzar,•,Powerful; Mighty
10,Acala,•,The Immovable One
89,Achal,•,Constant; Guarantee
13,Achet,•,Carefree
19,Achir,•,New
20,Achit,•,Seperation
20,Adair,•,Form of Edgar
23,Adeel,•,Judge; Honest; Just
21,Adeem,•,Rare
52,Adeep,•,Light
10,Adesa,•,Command; Order
127,Adesh,•,Command
10,Adham,•,Black; Son of the Red Earth
78,Adhik,•,Greater; More than One
95,Adhip,•,King
35,Adhit,•,Scholarly; Intelligent; Wise
32,Adhya,•,Sunday
10,Adiel,•,Goat
12,Adima,•,Beginning; Root
27,Adina,•,Noble Minded
11,Adipa,•,Kindled; Illuminating
19,Adisa,•,Clear Spoken Person; Ordered
36,Adish,•,Lord Shiva; Fire
14,Adita,•,The Sun
30,Adith,•,Sun
18,Aditi,•,Guest
22,Adiya,•,Jewel; Gods Treasure
16,Adlai,•,My Witness; Refuge of God; My Ornament
19,Adler,•,Eagle
5,Adley,•,The Just; Judicious
36,Adnan,•,Name of God; Proper Name; Good Fortune; From Kikuyu; One who is Settled; Pleasure; Settler; Lion; Bravery
7,Adree,•,Hill
18,Adrij,•,Belonging to the Mountains
22,Adrik,•,Small Mountain; Of the Adriatic; Man from Adria
30,Adrsh,•,Sanskar
13,Adrut,•,Slow
11,Adura,•,Not Far; Omnipresent; Soul
214,Advay,•,Unique Oneness; Unique
295,Advik,•,Unique
93,Advit,•,Unique
52,Adway,•,One; United
11,Adwik,•,Unique
26,Adwin,•,Artist
24,Aedan,•,Little Fire; Born of Fire
19,Aejaz,•,Karma
20,Afeef,•,Chaste; Modest; Pure; Pious
21,Afraa,•,Happiness
5,Afrah,•,Happiness
39,Afraz,•,Height; Very Learned in Divine Law; Man who Stand Like a Mountain
48,Aftab,•,Sun; Sunlight
4,Aftan,•,Add Meaning
25,Afzal,•,Most Excellent; Grace; Kindness; Favour
20,Agadh,•,Unfathomable
21,Agama,•,Proof of the Trustworthiness of a Source of Knowledge
16,Aghad,•,Vast; Deep
30,Aghat,•,Destroyer of Sin
42,Aghor,•,Shiva
23,Agira,•,The Sun; Fire
22,Agnit,•,Un Countable; Multiple; Countless
61,Agraj,•,Leader; Senior
63,Agrim,•,Leader; First
31,Agyey,•,Unknown
114,Ahaan,•,Dawn; Auspicious Dawn; Morning Glory; First Ray of Light
6,Ahame,•,Moon
10,Ahana,•,Gain
13,Ahara,•,Tormentor; A Manu
8,Ahdas,•,New; Novel
17,Aheer,•,A Raag
21,Ahika,•,Of Heaven and Earth; The Silk Cotton Tree
14,Ahima,•,Not Cold; Hot; Cloud; Water; Traveller
6,Ahina,•,Whole; Entire
16,Ahish,•,Blessing
16,Ahlad,•,Joy; Causing Delight; Refreshing
13,Ahlam,•,Witty
25,Ahmad,•,Highly Praised; Commendable; Most Praiseworthy; Much Praised; One of Many Names of the Prophet Muhammad; Most Highly Adored
15,Ahmar,•,Red; Ruddy; Red Coloured
22,Ahnay,•,As Bright as the Sun
23,Ahnik,•,Evening Time Prayer
13,Ahren,•,Enlightened
68,Ahsan,•,Mercy; Most Beautiful; Excellent; Most Talented; Spiritual; Compassion; Better
21,Ahsas,•,Feel
10,Ahuka,•,Offerer; Sacrificer
12,Ahuta,•,Invited; Called; Summoned
8,Ahuti,•,Offering Oblations
26,Aiden,•,Born of Fire
7,Aidil,•,Add Meaning
25,Aijaz,•,Favour
6,Aiken,•,Made of Oak; The Oaken
34,Aiman,•,Fearless; Right Hand Side
8,Aipal,•,Tasty; Delicious Red Coloured Fruit
6,Aivat,•,Add Meaning
4,Aiyah,•,Love; Respect
22,Ajaat,•,Unborn
23,Ajaib,•,Wondrous Being
2,Ajaka,•,God is Adorable or Admirable; A Young Goat; A Kid
6,Ajala,•,Believer of Allah; Eternal
7,Ajana,•,Instigator; Lord Brahma
6,Ajani,•,He Fights for What is his; Of Noble Birth
5,Ajapa,•,One who Possesses Goats
5,Ajara,•,Not Wearing out; Everlasting
4,Ajata,•,Unborn; A God
11,Ajath,•,Birth Less Like Lord Shiva
9,Ajaya,•,Unconquered
8,Ajeeb,•,Wonder
87,Ajeet,•,Victorious; Invincible; Unconquerable
10,Ajesh,•,Lord Hanuma
5,Ajeya,•,One who cannot be Conquered; Lord Vishnu
5,Ajina,•,Skin of a Goat; Tiger Skin
7,Ajira,•,Not Slow; Agile; Rapid
4,Ajisa,•,Lord of Goats; Lord Shiva
46,Ajish,•,God of Dev
6,Ajita,•,Invincible; Irresistible
24,Ajith,•,Invincible
49,Ajmal,•,Pious; Extremely Beautiful; Handsome
25,Ajmer,•,Name of a City
14,Ajmil,•,A Mythological King
6,Akaar,•,Shape; To Form; To Materialize
14,Akaas,•,As Vast as the Sky
8,Akama,•,Chaste; Virtuous
26,Akand,•,Calm
10,Akara,•,Mine; A Collection
3,Akasa,•,Open Air; Space
165,Akash,•,Sky
34,Akbar,•,Powerful; Greatest; Bigger
11,Akeel,•,World
9,Akeem,•,Originating from God; Wise
7,Akela,•,Single Man or Person
14,Akhan,•,Yogi; Now
10,Akhas,•,A Narrator of Hadith; Excellent; Special
24,Akhee,•,Of an Eye as in a Blink of an Eye
239,Akhil,•,Complete; Tree; Naughty; Intelligent; God; World
14,Akila,•,Universe; Not Fixed; Wavering
14,Akmal,•,Perfect; Whole; More Complete
7,Akopa,•,Without Anger
22,Akram,•,Excellent; More Generous-noble; Generous; Another Name for God
10,Akrti,•,Form Shape
9,Aksal,•,Complete
9,Aksan,•,Undestroyable
9,Aksar,•,Imperishable
26,Aksat,•,Rice Put During Pooja in Hindu Rituals
4,Aktar,•,Fragrance
10,Akula,•,Transcendental; Without Cast
11,Akush,•,Lap
8,Akyas,•,Wise; Intelligent; Ingenious; Very Wise
9,Alaap,•,Musical Notes in a Order
21,Alagu,•,Gorgeousness; Beauty; Good Looking; Handsome
4,Alaka,•,Capital of Kuber Dunasty
18,Alakh,•,Beyond Count
4,Alarn,•,One who Works on Correct Time
6,Albel,•,Different
5,Albin,•,White; Old English for Brilliant; Pale-skinned; Bright; Blond; Fair One; Mountain; From Alba
5,Alden,•,Old and Wise Protector; Defender; Old Friend
10,Aldis,•,From the Old House; Old; Tired; Battle Season; Noble
14,Aleem,•,Knowledgeable; A Well Educated Person
8,Alekh,•,Unscripted
6,Alesa,•,Not Little; Much; Large
11,Alesh,•,Protected by God
5,Alfie,•,Counsel from the Elves; Ready for Battle; Form of Alfred
7,Alfin,•,King
19,Alhad,•,Joy
6,Allah,•,God
5,Allan,•,Harmony; Stone; Noble; Fair; Handsome One
17,Alman,•,Kind; Willing and Wiseman; Noble Man
17,Almas,•,Diamond
17,Almir,•,Prince
4,Aloka,•,Vision; Sight; Aspect; Lustre; Splendour
24,Aloke,•,Light
24,Aloki,•,Brightness
5,Alola,•,Unagitated; Firm; Steady
8,Alopa,•,Small Morsel
6,Altaf,•,Kindness; Graces; More Gracious; More Delicate
2,Alton,•,From the Old Town; Ella's Town
7,Alugu,•,That which Divides; Blade
5,Aluka,•,Ebony
23,Alvin,•,Noble Friend; A City on a White Hill
4,Alwar,•,Name of a City
59,Amaan,•,Aman; Protection; Without Fear
12,Amaar,•,One who Prays Five Times and Fasts
2,Amaka,•,Add Meaning
10,Amala,•,Spotless; Pure; Tree
6,Amama,•,Without Ego
9,Amana,•,Friendly Disposition; Kindness; Affection
32,Amani,•,Peace; Wishes; Aspiration; Belief; Faith
13,Amara,•,Immortal
4,Amaru,•,Immortal
4,Amava,•,One who cannot be Humbled; Violent; Strong; Powerful
10,Amaya,•,Not Cunning
10,Ambak,•,The Eye
48,Ambar,•,Sky
17,Amber,•,Sky
3,Ambhu,•,Arrow
35,Ambud,•,Cloud
33,Ambuj,•,Lotus
32,Ameek,•,Very Deep
14,Ameen,•,Divine Grace; Honest; Faithful; Trustworthy; Fish
27,Ameer,•,Ruler; Prince; Superior; Chief; Commander; Rich
38,Ameet,•,Boundless
3,Amery,•,Industrious
13,Amesh,•,Sweet Like a Mango
103,Ameya,•,Boundless; Magnanimous; Immeasurable
5,Amian,•,Tamer
8,Amini,•,Reliable; Trustworthy; Rigid; Unalterable; Blood Brother
7,Amisa,•,Companion; Friend; An Object of Enjoyment; A Pleasing Object; A Gift
62,Amish,•,Honest
15,Amita,•,Friend; Truth; Boundless
11,Amith,•,Infinite; Immeasurable; Boundless
30,Amiya,•,Nectar; Delight
23,Amjad,•,Great; Noble; More Gratifying; Most Excellent; More Illustrious
9,Amlah,•,Pretty; Handsome; Beautiful; Pleasant
25,Amlan,•,Unfading; Ever-bright
18,Ammar,•,Long-living; Builder; Popularity; Constructor; Religious Person; Long of Age; The Maker
4,Ammth,•,Add Meaning
9,Amoda,•,Amusement; Gladdening; Joy; Strong Perfume
104,Amogh,•,A Name of Lord Ganesh; Unerring
9,Amoha,•,Straight; Clear
10,Amola,•,Priceless
14,Amraj,•,I'm the King
63,Amrik,•,Nectar; God of the Sky; Perfectionist
97,Amrit,•,Nectar
6,Amrta,•,That which Emits Nectar; Another Name for the Moon
24,Amrut,•,Food of Devas; Nectar
20,Amsan,•,He is Perfect
40,Amshu,•,Atom
6,Amuda,•,A Liquid which when Consumed Makes the Person Live Life-long without a Death; Purity
9,Amura,•,Wise; Intelligent; Sharpsighted
10,Amzad,•,More Glorious
35,Anaad,•,Beginning-less
43,Anaan,•,Clouds
6,Anaar,•,Pomegranate
7,Anada,•,Endless
37,Anadi,•,Eternal
59,Anagh,•,Sinless; Pure; Perfect; Energy; Without Any Fault
7,Anaka,•,Without Weakness
29,Anakh,•,Self-respect; Bravery
7,Anala,•,Fire; Wind
4,Analp,•,Add Meaning
6,Anama,•,Who Returns Salutations
9,Anami,•,A Name of Lord Buddha
7,Anana,•,Face; Appearance
143,Anand,•,Joy; Happiness; Bliss; One who is Blissful; Delightful
41,Anang,•,Name of Cupid or Kamadeva
107,Anant,•,Infinite
9,Anany,•,Rare
5,Anari,•,Enemy Less
8,Anasa,•,Indestructible; Undivided
5,Anasu,•,Indestructible; Imperishable
10,Anava,•,Humane; Kind to Men
19,Anaye,•,Another Name for Lord Ganesh
13,Anayk,•,Various
15,Anban,•,Lovable
1,Ancho,•,A Lion
7,Andre,•,Manly; Brave; Masculine; Warrior
11,Andya,•,Add Meaning
26,Aneek,•,Fighter
29,Aneel,•,Wind; White; Holy; Immaculate Being
16,Aneeq,•,Valuable
15,Anees,•,Close Friend; Companion; Genial; Intimate; Friendly
3,Aneka,•,Voluminous
51,Anesh,•,Smart One
97,Angad,•,An Ornament
43,Angaj,•,Son
24,Angak,•,Son; Singer
16,Angel,•,Messenger of God; Angel; Messenger
5,Angsu,•,Add Meaning
3,Angus,•,Unique Choice; Exceptional; Outstanding; Excellent Valour; Only Choice
57,Anhad,•,Celestial Music
14,Anhil,•,Uttpatti of Chauhan
7,Aniel,•,Add Meaning
12,Aniha,•,Indifferent
38,Aniij,•,Charming
23,Anika,•,Grace; Favour; Apricot from Nara; Army; Brilliance; Form
14,Anila,•,Wind; Air
7,Anili,•,Descendant of Anila; Lord Hanuman
25,Anisa,•,Supreme
304,Anish,•,Lord Krishna; Lord Vishnu; Lord Shiva; Supreme; Punctual
17,Anita,•,Grace; Favour; Without Guile; Leader
57,Anjal,•,Hollow Formed by Joining Two Hands
46,Anjan,•,Eye Liner
60,Anjas,•,Fort-right
20,Anjay,•,Unbeatable
33,Anjor,•,Bright
